ds,yhat,yhat_lower,yhat_upper,model,region
2024-05-27 00:00:00,80.05702087949557,15.487916583751115,141.19723506089272,Prophet,Annapolis Valley
2024-05-27 01:00:00,62.53812060345115,1.6387212935272886,123.48376475847104,Prophet,Annapolis Valley
2024-05-27 02:00:00,56.28683876387535,-3.461240937058104,116.314892617943,Prophet,Annapolis Valley
2024-05-27 03:00:00,63.801557479108325,7.815511888039866,123.55946390059415,Prophet,Annapolis Valley
2024-05-27 04:00:00,79.6059786339639,25.30953841389325,143.03005640021476,Prophet,Annapolis Valley
2024-05-27 05:00:00,105.20118107720104,48.69021555406966,166.36032204256813,Prophet,Annapolis Valley
2024-05-27 06:00:00,152.24685083861394,92.73146264695777,211.29415456494996,Prophet,Annapolis Valley
2024-05-27 07:00:00,176.46385584157838,116.08228683904942,237.91295695142745,Prophet,Annapolis Valley
2024-05-27 08:00:00,171.4630782119998,114.22045240231236,232.5620586103912,Prophet,Annapolis Valley
2024-05-27 09:00:00,160.0771547674487,97.95141235624637,219.1506901440001,Prophet,Annapolis Valley
2024-05-27 10:00:00,157.19520935767986,95.4213451199862,213.7987530542551,Prophet,Annapolis Valley
2024-05-27 11:00:00,154.37323371205537,92.6487830735633,211.52553224368123,Prophet,Annapolis Valley
2024-05-27 12:00:00,160.0515239073311,98.70966237647956,219.7690229479982,Prophet,Annapolis Valley
2024-05-27 13:00:00,167.7207031553314,109.16099538622672,231.28537134501133,Prophet,Annapolis Valley
2024-05-27 14:00:00,160.70386020095543,97.29454811000326,221.69544685144191,Prophet,Annapolis Valley
2024-05-27 15:00:00,170.58627651695417,111.33977926696043,235.57466452679455,Prophet,Annapolis Valley
2024-05-27 16:00:00,143.3088833873176,84.97782255704801,199.75730583213797,Prophet,Annapolis Valley
2024-05-27 17:00:00,170.17602591968932,113.49962073777392,230.19918564216184,Prophet,Annapolis Valley
2024-05-27 18:00:00,188.27548675871316,131.2236800102262,249.0826322325264,Prophet,Annapolis Valley
2024-05-27 19:00:00,198.80700042308183,136.41561971628695,257.6201360224848,Prophet,Annapolis Valley
2024-05-27 20:00:00,182.97501877490183,131.10064082162964,247.8366216694825,Prophet,Annapolis Valley
2024-05-27 21:00:00,149.63210881839964,93.51324584213933,209.5897631703517,Prophet,Annapolis Valley
2024-05-27 22:00:00,131.23860591545196,68.03250796752287,192.41700599061252,Prophet,Annapolis Valley
2024-05-27 23:00:00,108.58374869945956,47.407195043266526,164.38413640795014,Prophet,Annapolis Valley
2024-05-28 00:00:00,88.71937799161125,29.50364120324576,146.22746005149608,Prophet,Annapolis Valley
2024-05-28 01:00:00,76.74186683628022,10.068605937127524,137.35570645319888,Prophet,Annapolis Valley
2024-05-28 02:00:00,80.18685832316754,19.08902357587796,140.26241232049523,Prophet,Annapolis Valley
2024-05-28 03:00:00,59.03849442242275,1.8424020578346232,117.21320696831673,Prophet,Annapolis Valley
2024-05-28 04:00:00,100.98190661830058,42.414917721720826,156.05792054018033,Prophet,Annapolis Valley
2024-05-28 05:00:00,119.39917364067324,62.83723966189687,183.0067988830484,Prophet,Annapolis Valley
2024-05-28 06:00:00,162.69485956899547,100.93012247310912,221.90001706421424,Prophet,Annapolis Valley
2024-05-28 07:00:00,172.8263717422899,114.84541474790277,234.3753293719282,Prophet,Annapolis Valley
2024-05-28 08:00:00,184.04007442048703,125.37567385980728,246.73251446052737,Prophet,Annapolis Valley
2024-05-28 09:00:00,170.93340754344618,115.27943088688431,223.77400727526543,Prophet,Annapolis Valley
2024-05-28 10:00:00,163.55282776674937,104.49724187540195,221.465132820058,Prophet,Annapolis Valley
2024-05-28 11:00:00,149.42097503702175,92.87937236871116,209.741222940872,Prophet,Annapolis Valley
2024-05-28 12:00:00,156.084179107215,94.75371974936948,211.0089040093769,Prophet,Annapolis Valley
2024-05-28 13:00:00,168.1275583614536,110.85592736042194,229.22157431438595,Prophet,Annapolis Valley
2024-05-28 14:00:00,159.67935785080837,100.88258453523854,215.25202671240956,Prophet,Annapolis Valley
2024-05-28 15:00:00,138.6920318068291,81.75401616533661,199.6599526073404,Prophet,Annapolis Valley
2024-05-28 16:00:00,146.0285814758044,85.80235296801257,204.34844710602323,Prophet,Annapolis Valley
2024-05-28 17:00:00,174.28030820039564,119.71798542235165,239.5586939617711,Prophet,Annapolis Valley
2024-05-28 18:00:00,194.86547664589216,136.4817296925518,253.59875816330245,Prophet,Annapolis Valley
